N;Periodi;Inflazione annua;Inflazione mensile;Inflazione Media (Valore parziale);Indice Dal;Indice Al;

1;Gennaio-1999  Gennaio-2000;2,2%;0,2%;2,2%;108,9;111,3;
2;Febbraio-1999  Febbraio-2000;2,4%;0,4%;2,3%;109,1;111,7;
3;Marzo-1999  Marzo-2000;2,5%;0,3%;2,4%;109,3;112;
4;Aprile-1999  Aprile-2000;2,3%;0,1%;2,3%;109,6;112,1;
5;Maggio-1999  Maggio-2000;2,5%;0,4%;2,4%;109,8;112,5;
6;Giugno-1999  Giugno-2000;2,7%;0,3%;2,4%;109,8;112,8;
7;Luglio-1999  Luglio-2000;2,6%;0,2%;2,5%;110,1;113;
8;Agosto-1999  Agosto-2000;2,6%;0,1%;2,5%;110,2;113,1;
9;Settembre-1999  Settembre-2000;2,6%;0,2%;2,5%;110,4;113,3;
10;Ottobre-1999  Ottobre-2000;2,6%;0,4%;2,5%;110,8;113,7;
11;Novembre-1999  Novembre-2000;2,7%;0,3%;2,5%;111;114;
12;Dicembre-1999  Dicembre-2000;2,7%;0,1%;2,5%;111,1;114,1;
13;Gennaio-2000  Gennaio-2001;3,0%;0,4%;2,6%;111,3;114,6;
14;Febbraio-2000  Febbraio-2001;3,0%;0,3%;2,6%;111,7;115;
15;Marzo-2000  Marzo-2001;2,8%;0,1%;2,6%;112;115,1;
16;Aprile-2000  Aprile-2001;3,1%;0,4%;2,6%;112,1;115,6;
17;Maggio-2000  Maggio-2001;3,0%;0,3%;2,7%;112,5;115,9;
18;Giugno-2000  Giugno-2001;3,0%;0,3%;2,7%;112,8;116,2;
19;Luglio-2000  Luglio-2001;2,9%;0,1%;2,7%;113;116,3;
20;Agosto-2000  Agosto-2001;2,8%;0,0%;2,7%;113,1;116,3;
21;Settembre-2000  Settembre-2001;2,6%;0,0%;2,7%;113,3;116,3;
22;Ottobre-2000  Ottobre-2001;2,5%;0,2%;2,7%;113,7;116,5;
23;Novembre-2000  Novembre-2001;2,4%;0,2%;2,7%;114;116,7;
24;Dicembre-2000  Dicembre-2001;2,4%;0,1%;2,7%;114,1;116,8;
25;Gennaio-2001  Gennaio-2002;2,4%;0,4%;2,7%;114,6;117,3;
26;Febbraio-2001  Febbraio-2002;2,3%;0,3%;2,6%;115;117,7;
27;Marzo-2001  Marzo-2002;2,5%;0,3%;2,6%;115,1;118;
28;Aprile-2001  Aprile-2002;2,3%;0,3%;2,6%;115,6;118,3;
29;Maggio-2001  Maggio-2002;2,3%;0,3%;2,6%;115,9;118,6;
30;Giugno-2001  Giugno-2002;2,2%;0,1%;2,6%;116,2;118,7;
31;Luglio-2001  Luglio-2002;2,2%;0,2%;2,6%;116,3;118,9;
32;Agosto-2001  Agosto-2002;2,4%;0,2%;2,6%;116,3;119,1;
33;Settembre-2001  Settembre-2002;2,6%;0,2%;2,6%;116,3;119,3;
34;Ottobre-2001  Ottobre-2002;2,7%;0,3%;2,6%;116,5;119,6;
35;Novembre-2001  Novembre-2002;2,8%;0,3%;2,6%;116,7;120;
36;Dicembre-2001  Dicembre-2002;2,8%;0,1%;2,6%;116,8;120,1;
37;Gennaio-2002  Gennaio-2003;2,8%;0,4%;2,6%;117,3;120,6;
38;Febbraio-2002  Febbraio-2003;2,6%;0,2%;2,6%;117,7;120,8;
39;Marzo-2002  Marzo-2003;2,7%;0,3%;2,6%;118;121,2;
40;Aprile-2002  Aprile-2003;2,7%;0,2%;2,6%;118,3;121,5;
41;Maggio-2002  Maggio-2003;2,7%;0,2%;2,6%;118,6;121,8;
42;Giugno-2002  Giugno-2003;2,7%;0,1%;2,6%;118,7;121,9;
43;Luglio-2002  Luglio-2003;2,7%;0,2%;2,6%;118,9;122,1;
44;Agosto-2002  Agosto-2003;2,8%;0,2%;2,6%;119,1;122,4;
45;Settembre-2002  Settembre-2003;2,8%;0,2%;2,6%;119,3;122,6;
46;Ottobre-2002  Ottobre-2003;2,6%;0,1%;2,6%;119,6;122,7;
47;Novembre-2002  Novembre-2003;2,5%;0,2%;2,6%;120;123;
48;Dicembre-2002  Dicembre-2003;2,5%;0,1%;2,6%;120,1;123,1;
49;Gennaio-2003  Gennaio-2004;2,2%;0,2%;2,6%;120,6;123,3;
50;Febbraio-2003  Febbraio-2004;2,3%;0,2%;2,6%;120,8;123,6;
51;Marzo-2003  Marzo-2004;2,3%;0,3%;2,6%;121,2;124;
52;Aprile-2003  Aprile-2004;2,3%;0,2%;2,6%;121,5;124,3;
53;Maggio-2003  Maggio-2004;2,3%;0,2%;2,6%;121,8;124,6;
54;Giugno-2003  Giugno-2004;2,4%;0,2%;2,6%;121,9;124,8;
55;Luglio-2003  Luglio-2004;2,3%;0,1%;2,6%;122,1;124,9;
56;Agosto-2003  Agosto-2004;2,3%;0,2%;2,6%;122,4;125,2;
57;Settembre-2003  Settembre-2004;2,1%;0,0%;2,6%;122,6;125,2;
58;Ottobre-2003  Ottobre-2004;2,0%;0,0%;2,6%;122,7;125,2;
59;Novembre-2003  Novembre-2004;1,9%;0,1%;2,5%;123;125,3;
60;Dicembre-2003  Dicembre-2004;2,0%;0,2%;2,5%;123,1;125,6;
61;Gennaio-2004  Gennaio-2005;1,9%;0,0%;2,5%;123,3;125,6;
62;Febbraio-2004  Febbraio-2005;1,9%;0,3%;2,5%;123,6;126;
63;Marzo-2004  Marzo-2005;1,9%;0,3%;2,5%;124;126,4;
64;Aprile-2004  Aprile-2005;1,9%;0,2%;2,5%;124,3;126,6;
65;Maggio-2004  Maggio-2005;1,9%;0,3%;2,5%;124,6;127;
66;Giugno-2004  Giugno-2005;1,8%;0,0%;2,5%;124,8;127;
67;Luglio-2004  Luglio-2005;2,1%;0,4%;2,5%;124,9;127,5;
68;Agosto-2004  Agosto-2005;2,0%;0,2%;2,5%;125,2;127,7;
69;Settembre-2004  Settembre-2005;2,0%;0,0%;2,4%;125,2;127,7;
70;Ottobre-2004  Ottobre-2005;2,2%;0,2%;2,4%;125,2;128;
71;Novembre-2004  Novembre-2005;2,2%;0,1%;2,4%;125,3;128,1;
72;Dicembre-2004  Dicembre-2005;2,0%;0,0%;2,4%;125,6;128,1;
73;Gennaio-2005  Gennaio-2006;2,2%;0,2%;2,4%;125,6;128,4;
74;Febbraio-2005  Febbraio-2006;2,1%;0,2%;2,4%;126;128,7;
75;Marzo-2005  Marzo-2006;2,1%;0,2%;2,4%;126,4;129;
76;Aprile-2005  Aprile-2006;2,2%;0,3%;2,4%;126,6;129,4;
77;Maggio-2005  Maggio-2006;2,2%;0,3%;2,4%;127;129,8;
78;Giugno-2005  Giugno-2006;2,3%;0,1%;2,4%;127;129,9;
79;Luglio-2005  Luglio-2006;2,2%;0,3%;2,4%;127,5;130,3;
80;Agosto-2005  Agosto-2006;2,2%;0,2%;2,4%;127,7;130,5;
81;Settembre-2005  Settembre-2006;2,1%;-0,1%;2,4%;127,7;130,4;
82;Ottobre-2005  Ottobre-2006;1,8%;-0,1%;2,4%;128;130,3;
83;Novembre-2005  Novembre-2006;1,8%;0,1%;2,4%;128,1;130,4;
84;Dicembre-2005  Dicembre-2006;1,9%;0,1%;2,4%;128,1;130,5;
85;Gennaio-2006  Gennaio-2007;1,7%;0,1%;2,4%;128,4;130,6;
86;Febbraio-2006  Febbraio-2007;1,8%;0,3%;2,4%;128,7;131;
87;Marzo-2006  Marzo-2007;1,7%;0,2%;2,4%;129;131,2;
88;Aprile-2006  Aprile-2007;1,5%;0,2%;2,3%;129,4;131,4;
89;Maggio-2006  Maggio-2007;1,5%;0,3%;2,3%;129,8;131,8;
90;Giugno-2006  Giugno-2007;1,7%;0,2%;2,3%;129,9;132,1;
91;Luglio-2006  Luglio-2007;1,6%;0,2%;2,3%;130,3;132,4;
92;Agosto-2006  Agosto-2007;1,6%;0,2%;2,3%;130,5;132,6;
93;Settembre-2006  Settembre-2007;1,7%;0,0%;2,3%;130,4;132,6;
94;Ottobre-2006  Ottobre-2007;2,1%;0,3%;2,3%;130,3;133;
95;Novembre-2006  Novembre-2007;2,4%;0,4%;2,3%;130,4;133,5;
96;Dicembre-2006  Dicembre-2007;2,6%;0,3%;2,3%;130,5;133,9;
